Unnamed: 0,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration,source_file
12,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,13,L-2,Concatenation,4,4,11.065,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
13,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,14,L-2,Interpolation,2,2,7.828,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
14,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,15,L-3,Concatenation,1,1,64.374,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
15,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,16,L-3,Interpolation,3,3,9.008,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
0,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,1,L-1,Concatenation,2,2,12.067,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
1,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,2,L-1,Interpolation,1,1,11.868,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
2,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,3,L-2,Concatenation,1,4,18.78,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
3,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,4,L-2,Interpolation,2,2,12.359,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
4,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,5,L-2,Concatenation,3,3,10.727,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
5,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,6,L-2,Interpolation,4,3,7.983,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
6,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,7,L-4,Concatenation,4,4,43.417,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
7,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,8,L-4,Interpolation,1,2,13.745,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
8,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,9,L-3,Concatenation,3,3,10.491,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
9,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,10,L-3,Interpolation,2,2,8.254,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
10,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,11,L-4,Concatenation,3,3,11.005,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
11,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,12,L-4,Interpolation,1,1,12.369,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
12,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,13,L-2,Concatenation,4,4,8.825,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
13,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,14,L-2,Interpolation,2,2,9.614,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
14,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,15,L-3,Concatenation,1,1,12.557,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
15,58b12dbc,Male,18-24,Senior,Some college/university,Nevada,Computer Science,3,16,L-3,Interpolation,3,3,14.767,AKIAYPZKJUD4MSKJLBUZ_v_20250423T230933_TQW2p9wQJ2trRLIv6Rs0fV6k1tMCpbkZ.csv
0,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,1,L-1,Concatenation,2,1,14.701,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
1,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,2,L-1,Interpolation,1,1,14.373,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
2,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,3,L-2,Concatenation,1,1,14.131,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
3,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,4,L-2,Interpolation,2,2,11.354,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
4,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,5,L-2,Concatenation,3,3,22.1,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
5,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,6,L-2,Interpolation,4,3,8.316,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
6,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,7,L-4,Concatenation,4,4,56.198,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
7,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,8,L-4,Interpolation,1,3,22.789,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
8,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,9,L-3,Concatenation,3,3,8.763,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
9,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,10,L-3,Interpolation,2,2,10.498,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
10,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,11,L-4,Concatenation,3,3,49.141,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
11,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,12,L-4,Interpolation,1,1,8.684,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
12,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,13,L-2,Concatenation,4,4,12.106,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
13,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,14,L-2,Interpolation,2,2,9.915,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
14,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,15,L-3,Concatenation,1,1,11.795,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
15,ace673cf,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,16,L-3,Interpolation,3,4,7.648,AKIAYPZKJUD4MSKJLBUZ_v_20250423T232738_hKwZA2MlZtaefARIseOVjFmR1Btx8moy.csv
0,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,1,L-1,Concatenation,2,2,32.816,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
1,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,2,L-1,Interpolation,1,1,34.29,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
2,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,3,L-2,Concatenation,1,4,128.217,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
3,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,4,L-2,Interpolation,2,2,55.537,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
4,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,5,L-2,Concatenation,3,3,35.184,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
5,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,6,L-2,Interpolation,4,3,22.302,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
6,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,7,L-4,Concatenation,4,4,91.371,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
7,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,8,L-4,Interpolation,1,1,83.028,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
8,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,9,L-3,Concatenation,3,3,69.314,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
9,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,10,L-3,Interpolation,2,2,29.639,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
10,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,11,L-4,Concatenation,3,3,64.81,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
11,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,12,L-4,Interpolation,1,1,85.361,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
12,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,13,L-2,Concatenation,4,4,14.332,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
13,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,14,L-2,Interpolation,2,2,18.847,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
14,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,15,L-3,Concatenation,1,1,113.692,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
15,a9b5b2bc,Other,18-24,Senior,Some college/university,Nevada,Computer Science,24,16,L-3,Interpolation,3,3,26.989,AKIAYPZKJUD4MSKJLBUZ_v_20250424T000013_xjf7PPTJ5JLFcTyNx0hnMmc1h.VoxvVd.csv
0,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,1,L-1,Concatenation,2,2,14.7,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
1,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,2,L-1,Interpolation,1,1,9.839,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
2,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,3,L-2,Concatenation,1,4,20.501,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
3,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,4,L-2,Interpolation,2,2,16.913,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
4,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,5,L-2,Concatenation,3,3,15.624,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
5,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,6,L-2,Interpolation,4,3,11.948,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
6,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,7,L-4,Concatenation,4,4,19.914,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
7,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,8,L-4,Interpolation,1,4,33.202,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
8,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,9,L-3,Concatenation,3,3,15.459,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
9,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,10,L-3,Interpolation,2,2,9.463,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
10,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,11,L-4,Concatenation,3,3,21.808,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
11,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,12,L-4,Interpolation,1,2,23.253,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
12,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,13,L-2,Concatenation,4,4,12.832,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
13,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,14,L-2,Interpolation,2,2,10.655,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
14,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,15,L-3,Concatenation,1,1,16.082,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
15,4b1edce7,Male,18-24,Senior,Some college/university,Nevada,Computer Science,4,16,L-3,Interpolation,3,3,16.517,AKIAYPZKJUD4MSKJLBUZ_v_20250424T002134_vFXUaIAz7wsuNUAew6fBZdVU4HRbJH8y.csv
0,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,1,L-1,Concatenation,2,2,9.841,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
1,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,2,L-1,Interpolation,1,1,21.485,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
2,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,3,L-2,Concatenation,1,4,16.82,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
3,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,4,L-2,Interpolation,2,2,12.386,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
4,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,5,L-2,Concatenation,3,3,14.059,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
5,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,6,L-2,Interpolation,4,3,10.234,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
6,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,7,L-4,Concatenation,4,4,22.949,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
7,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,8,L-4,Interpolation,1,1,21.586,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
8,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,9,L-3,Concatenation,3,3,15.976,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
9,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,10,L-3,Interpolation,2,2,12.46,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
10,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,11,L-4,Concatenation,3,3,22.926,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
11,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,12,L-4,Interpolation,1,1,23.578,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
12,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,13,L-2,Concatenation,4,4,11.963,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
13,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,14,L-2,Interpolation,2,2,6.641,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
14,5c429f4f,Male,25-35,Senior,Some college/university,Nevada,Computer Science,4,15,L-3,Concatenation,1,1,17.542,AKIAYPZKJUD4MSKJLBUZ_v_20250424T003625_5zpu2o0J.hXi_q0L4JlxZysJ5.gNQan5.csv
