UID,R-X,readability_reflection,comprehension_debugging,preference_rationale,learning_curve,suggestions_improvement,source_file
77e9dde2,R-23,"They both felt equally as readable once I got the hang of it, but at first, string concatenation was more readable. I think this is because I am used to the notion of + or so than insertion with interpolation.","At first, yes. Using interpolation messed up my ability slightly more. This is simply because my brain needed a moment to input the given variable into the place where the brackets were.","If I were tasked to choose, I would choose concatenation. This is because for myself, It's more easily readable, and frankly more simple.","I think any understanding anyone has of coding would help ease understanding. If I needed to give a reason why, It's simply because I'm familiar with the syntax of some coding, which helps me to read it.","I think both ways are pretty simple, and there's nothing to change that could make it significantly easier to understand. I enjoy both, with the little experience I have.",AKIAYPZKJUD4MSKJLBUZ_v_20250425T041831_3dN4.eDEdiGANwrK6Q9f4Nb9u0OfZrGF.csv
87ff9740,R-24,"They both have their advantages. I think that concatenation is more readable than interpolation for example, “a” + b + “c” is clearer than “a{b}c”.",There were some typos I think? so that was a challenge. ,"I prefer concatenation, because its more fundamental than interpolation.  The “addition” is just clearer. ",Because I have coded in multiple languages both are approachable as far as readability goes. ,I don’t! ,AKIAYPZKJUD4MSKJLBUZ_v_20250425T081936_sYJx9bhTbCQYh1GKD.gQT4lg3EVKJoGS.csv
8b76407b,R-25,The string concatenation was more readable because the + is more visually distinct than curly brackets. I tended to mix up the curly brackets with parentheses which made it slightly harder to understand the scope of either.,"Concatenation is generally easier to for me to understand and debug since the + sign is so visually distinctive. The only issue I have with using the + sign is forgetting spaces at the beginning or end of strings. Interpolation can help me visualize how certain strings will be incorporated into the middle of larger strings, but I don't prefer it. The only challenge arises when I want to print plus signs or curly brackets. It can get confusing to identify when they are being used in the string or when they are being used to interpolate or concatenate.","I would prefer string concatenation because it's easier to visualize what the final string will look like. Interpolation's use of brackets causes potential confusion regarding scope and what string contents will actually be printed, and what is part of interpolation's syntax.","I prefer to use concatenation/am more familiar with it, so it's ease of use appealed to me. I also tend to think of it as more intuitive. I chose to avoid overuse of brackets since it's difficult to understand scope at a glance if the string becomes complex.","This is mostly applicable to use in IDEs, but color coding would be helpful to determine scope. I think the use of curly brackets is good though, because it's less common in mathematical functions and visually makes me think of strings more than math. Still, I prefer concatenation. Although I occasionally get confused whether ""+"" is being used for math or concatenation, the use of quotation marks usually makes it easier for me to tell at a glance.",AKIAYPZKJUD4MSKJLBUZ_v_20250425T085205_ICUpe_JfutIaaimGUV1BMrrLz_15fR.v.csv
bbfca9f0,R-26,I found concatenation a little more readable because the + allows me to know when something ends and begins. ,"Concatenation heleps me quickly understand the debug, becuase without the """" marks, the + would not output, so it allows me to break down each part of the code.","I would use string concatenation because the plus symbol stands out in the code, and you can make it a little more readable",I prioritized experience more than familiarity and going through I was able to easily identify concatenation much easier than string interpolation.,Just make it a little cleaner when writing a big code,AKIAYPZKJUD4MSKJLBUZ_v_20250425T170255_C2TKWuIVIi_dLFqdiZrG9mQNsFOHf83f.csv
7222da5a,R-27,"String interpolation was easier to follow along and more readable because it was like reading a key. with string interpolation I could just go back and forth replacing what needed to be replaced to get the correct answer. Whereas with string concatenation though it was cleaner and less cluttered reading it felt like a trick question because looking at it felt like reading code, and string interpolation felt like general math.","Yes, I found I was faster reading string interpolation because it was like doing elementary math in my head, whereas with string concatenation I stalled. Especially with spaces, I felt like I would get the answers incorrect because the brackets felt misleading. I didn't feel as comfortable with string concatenation.","I would prefer string interpolation because it didn't feel like programming, it felt like id already done that sort of debugging before. I found myself analyzing the problems with more confidence because it was like ""plugging and chugging"" as they say in math. With string concatenation, I found myself taking a second look at my answer because of the notation.","I've only had experience with the programming language C++, so I wasn't absolutely confused by neither string interpolation nor concatenation. Reading them were simple, direct, and concise. Therefore the debugging experience was not frustrating. But comparing the two, I found string interpolation safer to learn from. ","I find that learning any programming language can be difficult and often visually difficult to interpret. And if asked to debug or understand some piece of syntax, I think color coding is important because most students would get the logic down without needing to read the directions, sending less time second guessing their answer. if color isn't an option, bolding text can make the syntax easier to read and follow along. ",AKIAYPZKJUD4MSKJLBUZ_v_20250425T212412_isUhyE44t0ohhjCmpF70x_JirceJF7oj.csv
3640ad02,R-28,I have not done much on interpolation but string concatenation seemed different to read.,Yes as I always had a hard time debugging code.,Concatenation since I have always used that,I dont do either of much so I had a somewhat difficult time.,I would have to learn it more to know what to change about the syntax.,AKIAYPZKJUD4MSKJLBUZ_v_20250425T213424_LKuGLONhX.mJMgD9pkOwQRa46ytuNyf5.csv
ab9dba9b,R-29,"Based on my experience, I found string interpolation to be significantly more readable than concatenation. With interpolation, the variables are embedded directly within the string, which makes it easier to visualize the final output. For example, writing ""Hello, {userName}!"" feels more natural and clean than ""Hello, "" + userName + ""!"". Concatenation can quickly become cluttered, especially when dealing with multiple variables and longer strings, making it harder to follow the structure at a glance.","String interpolation made it easier to understand and debug code snippets because the logic and output are more transparent. For instance, when I saw a line like ""C://Users//{doc}//{userName}"", I could immediately recognize the structure of the resulting path without mentally parsing multiple concatenation operations. In contrast, concatenation required more mental effort, especially when quotes and plus signs were nested or when multiple variables were joined. That added complexity can introduce bugs or make spotting errors more difficult.","I would prefer string interpolation for future programming tasks. The main factors influencing my choice are readability, maintainability, and clarity. Interpolation scales better when strings get longer or when more variables are involved. It's also easier to modify and less error-prone, especially in dynamic environments where strings are built based on user input or configuration data.

","My prior experience with both methods—primarily in Python, JavaScript, and C#—definitely made it easier to understand the examples. I’m more used to modern templating approaches like f-strings in Python (f""Hello, {name}"") or template literals in JavaScript (`Hello, ${name}`). Because of this, interpolation felt familiar and intuitive. On the other hand, concatenation felt more reminiscent of older practices or languages with limited string handling capabilities.","One improvement I’d suggest is ensuring consistency in syntax across different programming languages. For example, some use {} with $ or f, while others use %-style or function-based interpolation. A universal or more standardized approach could reduce confusion, especially for beginners. For concatenation, minimizing the visual clutter of repeated + operators (perhaps through a helper function or cleaner syntax) could enhance readability.",AKIAYPZKJUD4MSKJLBUZ_v_20250425T222920_Lnc.NPwM888nUml9pu_FRWAGxQ9GvbgJ.csv
282be7cd,R-30,"In this survey, I found string interpolation to be significantly more readable. It just feels more intuitive to me to visually see where the variables are embedded in my string.

For example- print(f""Hello {name}, sup?"")

Many editors like VS Code would highlight ""{name}"" in a different color, making it more intuitive to understand that it's a variable to be plugged in.","In string concatenation, it sometimes just takes you a second to gather your thoughts.

For example, when printing- 

""Water"" + 4

I would need to run it and understand what will be printed, or if it will give me an error.

Whereas-

num = 4
""Water {num}""

This just feels right to the point. I have a variable that I want to plug after ""Water""","I would and have been using string interpolation for all my programming tasks, with a few minor exceptions here and there. As mentioned before, interpolation feels like a more solidified, grounded method.","I have significant experience working in CS. I've worked on multiple projects, ranging from personal ones to production-ready ones for startups.

Recently, I've been working in inference engineering for Agentic LLMs, where I serve a system prompt with the tools embedded using string interpolation.
Example:

""""""
You are a helpful assistant. Please use the following tools to help the user.
Tools:
{tools}

Tools description:
{tools_description}
""""""","Having an IDE/editor highlight specifically what the variables are is really helpful.

For example, in VS Code working in Python, in my previous response, the ""{tools}"" and ""{tools_description}"" would be highlighted in blue and the rest of the string in orange.",AKIAYPZKJUD4MSKJLBUZ_v_20250426T003624_hu8DoUSCz1_LCuff8kAuzGk359gdr1GZ.csv
559887bf,R-31,String concatenation ,interpolation,interpolation,concatenation ,,AKIAYPZKJUD4MSKJLBUZ_v_20250426T011422_fHxjyLWAchIOQN9ZvVaN32Pp3QF8U_eW.csv
04610c94,R-32,"String concatenation, but because i had more experience with it. I havent used or heard interpolation.  ",Yes i didnt understand interpolation,"string concatenation, but only because i understand how it works.","concatenating is simple and easy to understand. String x = ""hi "" + ""world"";",no,AKIAYPZKJUD4MSKJLBUZ_v_20250426T014527_2_z4QJWBUrMVRhfdf_ht8FR9Hz5NuXiK.csv
41df64f4,R-33,string concatenation. using the '+' operator makes sense since we learned that '+' means to add.,string concatenation was easier to debug. string interpolation got messy since we have to deal with parenthesis also and it got confusing,string concatenation. its easier to read and debug,"Since I've been coding for 5 years, concatenation is more familiar to me since its used in most prograwmming languages",string concatenation is fine. string interpolation is tricky though. I'm not sure if theres a solution to make string interpolation easier to read,AKIAYPZKJUD4MSKJLBUZ_v_20250426T044053_U2uEfwWk2WsqOPKrezdg7zUcJ59mA7eU.csv
68e97c99,R-34,"Interpolation, I found it easier to read. It was easier to logically place into the sentence and visualize it. Rather than have everything broken with "" "" + "" "". I prefer ""Hello {name}, {intro}!/n""","Using interpolation was definitely easier. When viewing concat, I had to really focus in and keep referring back to the variables which caused me to lose my place sometimes. The brackets made it easier to refer back to the spot I was replacing in my mind.","I would prefer string interpolation. I used to work with Javascript and when using it in React, I found it easier to understand what was going to be replaced during certain events.","I think just having the previous experience with interpolation definitely made it easier to read. I would always prefer interpol vs concat, because there isn't a lot of """" """" """" """" breaking the code and made it easier to read. Especially in web app development.","Brackets all the way, ++ to learn concepts, and when it's on hard lock, move on to {}",AKIAYPZKJUD4MSKJLBUZ_v_20250426T065530_EoXVlJzoAUwHaublge22Cz95dzzBDnF3.csv
af6e6ccb,R-35,"String concatenation was more readable in most circumstances as I was more familiar with it. I also wasn't fully aware of how interpolation worked and what you expected my response to be. For example, I had no idea what {(3 0 1)} could mean. I usually just selected the ones without the braces unless I was given a particular value to substitute in. However, where particular values were provided and there was just one string like a=5, b=6, something like ""there are {a} cats and {b} dogs"" is more readable than concatenation, if not by much. ","Yes, the constant parentheses, especially if there is more than one set greatly confused me when doing this. For example there was one question where it was like ""...""5""..."" which seemed to me like 5 should be excluded from the parentheses but there was no + to concatenate so I was confused. Interpolation is confused to begin with as I was not familiar with it. ",I would prefer concatenation as it generally more readable and I am more familiar with it. ,Concatenation was much easier simply because I have used it a lot while I have never used interpolation before.  For example I didn't know what {(1 0 3)} is supposed to mean. ,"I feel like part of it could be improved with colored text to clearly indicate what is inside and outside of a string, like what many programing platforms like VSC do. ",AKIAYPZKJUD4MSKJLBUZ_v_20250426T183538_YPRH2ipa6twm555qOnnT3oeXNmzgg3R0.csv
eda4c596,R-36,"Concatenation was more readable. I actually do not recall any exposure to interpolation until this survey, so I am unsure what it means. Concatenatio, thus, was more readable. However, the notation did look more simple than Interpolation.","I was able to debug the code snippets by process of elimination. However, I did not have much practice with interpolation. Concatenation was easy, but the former was not. Debugging was challenging yet fun because I felt I was discovering something new.","Concatenation, as notationaly I require less types of elements to implement, despite needing more total elements / code required. However, I can see why some can see it as mundane and choose interpolation.","Requiring me to complete 16 tasks made it feel like trial and error, which was very good for my learning, as I was slowly picking up the pattern, like a machine learning model being trained.","Concatenation is where it needs to be, interpolation could be simpler. But I am not sure what could be implemented. As such, I am fine with the way they are now, leaving people to choose which they prefer for their coding projects.",AKIAYPZKJUD4MSKJLBUZ_v_20250426T191109_33S1LK_Y2pQiUs3geNcWQEd_v3opcAEj.csv
ca3ddf84,R-37,String concatenation was more readable as I have had more practice and experience with it.,Maybe a little.,String concatenation is easier to comprehend,String concatenation was more readable,No,AKIAYPZKJUD4MSKJLBUZ_v_20250426T202902_NP5crlCabM.2zqFQCL_Ni76FKkfbzefp.csv
8e8055fa,R-38,Probably the concetenation since its only adding the things together.,Yes there was some that affected my readability skills like for the interpolation since I was not really sure what that meant but it was very similar to the other questions.,I would definitely use concatenation for future programming tasks since the readability is very high. ,I learned operator overloading and it reminded me of concatenation bit.,None.,AKIAYPZKJUD4MSKJLBUZ_v_20250426T211632_ClmQKm6x6bx74d6hhm78qo9PH.H4A5je.csv
117618b0,R-39,I find it more readable using string concatenation because that's how we got through during my classes.,"Yes, in one of the tasks that uses interpolation, I was trying to multiply the number instead of just adding to the sentence. ","It totally depends, for example, if I'm using operator overloading and the operator is +, I'm going to use interpolation to add on a sentence instead of concatenation. ","It felt simple adding the two strings together, especially using the plus operator. But I remember using str() to convert the number to a string, so it gave a little bit of complication in completing the tasks. ","I would use both when needed. It is very important to understand them and use them correctly, and make sure to comment them in the projects just in case some one si not familiar with. ",AKIAYPZKJUD4MSKJLBUZ_v_20250426T221402_l0iknHrPG5Uh9wnip0Oi8rxkzi3CLaeK.csv
